Municipality,Canton,TLS,correct redirect,people
Aadorf,TG,True,True,8838
Affeltrangen,TG,True,True,2513
Altnau,TG,False,False,2161
Amlikon-Bissegg,TG,False,False,1301
Amriswil,TG,True,True,13293
Arbon,TG,True,True,14256
Basadingen-Schlattingen,TG,False,False,1811
Berg (TG),TG,False,False,3301
Berlingen,TG,False,False,887
Bettwiesen,TG,False,False,1172
Bichelsee-Balterswil,TG,False,False,2820
Birwinken,TG,True,True,1337
Bischofszell,TG,False,False,5923
Bottighofen,TG,False,False,2180
Braunau,TG,True,True,765
Bürglen (TG),TG,False,False,3741
Bussnang,TG,True,True,2261
Diessenhofen,TG,True,True,3745
Dozwil,TG,True,True,727
Egnach,TG,False,False,4681
Erlen,TG,False,False,3636
Ermatingen,TG,True,True,3202
Eschenz,TG,False,False,1721
Eschlikon,TG,True,True,4296
Felben-Wellhausen,TG,False,False,2743
Fischingen,TG,True,True,2680
Frauenfeld,TG,True,True,25058
Gachnang,TG,False,False,4211
Gottlieben,TG,False,False,323
Güttingen,TG,False,False,1560
Hauptwil-Gottshaus,TG,True,True,1917
Hefenhofen,TG,True,False,1243
Herdern,TG,False,False,1023
Hohentannen,TG,False,False,597
Homburg,TG,False,False,1537
Horn,TG,False,False,2600
Hüttlingen,TG,False,False,837
Hüttwilen,TG,False,False,1701
Kemmental,TG,False,False,2453
Kesswil,TG,True,True,992
Kradolf-Schönenberg,TG,False,False,3529
Kreuzlingen,TG,False,False,21537
Langrickenbach,TG,False,False,1279
Lengwil,TG,False,False,1682
Lommis,TG,False,False,1215
Mammern,TG,False,False,650
Märstetten,TG,False,False,2784
Matzingen,TG,True,True,2675
Müllheim,TG,True,True,2930
Münchwilen (TG),TG,True,True,5353
Münsterlingen,TG,False,False,3328
Neunforn,TG,True,True,986
Pfyn,TG,False,False,1943
Raperswilen,TG,False,False,391
Rickenbach (TG),TG,False,False,2768
Roggwil (TG),TG,True,True,3050
Romanshorn,TG,False,False,10770
Salenstein,TG,False,False,1285
Salmsach,TG,False,False,1451
Schlatt (TG),TG,False,False,1657
Schönholzerswilen,TG,False,False,839
Sirnach,TG,True,True,7697
Sommeri,TG,False,False,549
Steckborn,TG,True,True,3740
Stettfurt,TG,False,False,1201
Sulgen,TG,False,False,3703
Tägerwilen,TG,False,False,4510
Thundorf,TG,False,False,1459
Tobel-Tägerschen,TG,False,False,1594
Uesslingen-Buch,TG,False,False,1075
Uttwil,TG,False,False,1855
Wagenhausen,TG,False,False,1654
Wäldi,TG,False,False,1050
Wängi,TG,True,True,4614
Warth-Weiningen,TG,False,False,1252
Weinfelden,TG,True,True,11241
Wigoltingen,TG,False,False,2410
Wilen (TG),TG,False,False,2482
Wuppenau,TG,False,False,1133
Zihlschlacht-Sitterdorf,TG,False,False,2267
Aarau,AG,False,False,21191
Aarburg,AG,False,False,8044
Abtwil,AG,False,False,973
Ammerswil,AG,True,True,673
Aristau,AG,False,False,1433
Arni (AG),AG,False,False,1871
Attelwil,AG,True,True,295
Auenstein,AG,False,False,1574
Auw,AG,False,False,2111
Bad Zurzach,AG,False,False,4240
Baden,AG,True,True,19168
Baldingen,AG,False,False,261
Beinwil (Freiamt),AG,False,False,1145
Beinwil am See,AG,True,True,3148
Bellikon,AG,True,True,1550
Bergdietikon,AG,True,True,2830
Berikon,AG,True,True,4715
Besenbüren,AG,False,False,621
Bettwil,AG,False,False,610
Biberstein,AG,False,False,1584
Birmenstorf (AG),AG,True,True,2969
Birr,AG,False,False,4444
Birrhard,AG,False,False,705
Birrwil,AG,False,False,1178
Böbikon,AG,False,False,174
Boniswil,AG,False,False,1403
Boswil,AG,False,False,2781
Bottenwil,AG,False,False,791
Böttstein,AG,True,False,3986
Bözberg,AG,True,True,1571
Bözen,AG,False,False,736
Bremgarten (AG),AG,False,False,7769
Brittnau,AG,False,False,3906
Brugg,AG,True,True,11092
Brunegg,AG,False,False,810
Buchs (AG),AG,False,False,7908
Bünzen,AG,False,False,1095
Burg (AG),AG,False,False,1021
Büttikon,AG,False,False,986
Buttwil,AG,False,False,1225
Densbüren,AG,False,False,726
Dietwil,AG,False,False,1324
Dintikon,AG,True,True,2207
Dottikon,AG,False,False,3872
Döttingen,AG,True,True,3885
Dürrenäsch,AG,True,True,1237
Effingen,AG,False,False,593
Eggenwil,AG,False,False,998
Egliswil,AG,False,False,1408
Ehrendingen,AG,False,False,4847
Eiken,AG,True,False,2277
Elfingen,AG,False,False,293
Endingen,AG,False,False,2571
Ennetbaden,AG,True,True,3511
Erlinsbach (AG),AG,False,False,4146
Fahrwangen,AG,False,False,2056
Fischbach-Göslikon,AG,False,False,1651
Fisibach,AG,False,False,480
Fislisbach,AG,False,False,5548
Freienwil,AG,True,True,1039
Frick,AG,False,False,5449
Full-Reuenthal,AG,False,False,875
Gansingen,AG,False,False,1030
Gebenstorf,AG,False,False,5249
Geltwil,AG,False,False,209
Gipf-Oberfrick,AG,False,False,3502
Gontenschwil,AG,False,False,2110
Gränichen,AG,False,False,7706
Habsburg,AG,False,False,433
Hägglingen,AG,False,False,2428
Hallwil,AG,False,False,875
Hausen (AG),AG,False,False,3575
Hellikon,AG,True,True,788
Hendschiken,AG,True,True,1220
Herznach,AG,False,False,1506
Hirschthal,AG,False,False,1573
Holderbank (AG),AG,False,False,1214
Holziken,AG,True,True,1350
Hornussen,AG,False,False,936
Hunzenschwil,AG,True,True,4026
Islisberg,AG,False,False,618
Jonen,AG,True,True,2063
Kaiseraugst,AG,False,False,5576
Kaiserstuhl,AG,False,False,430
Kaisten,AG,False,False,2649
Kallern,AG,True,True,364
Killwangen,AG,False,False,2075
Kirchleerau,AG,False,False,849
Klingnau,AG,False,False,3480
Koblenz,AG,True,False,1655
Kölliken,AG,True,False,4324
Künten,AG,False,False,1746
Küttigen,AG,True,True,6086
Laufenburg,AG,False,False,3620
Leibstadt,AG,True,False,1278
Leimbach (AG),AG,False,False,445
Lengnau (AG),AG,False,False,2747
Lenzburg,AG,True,True,10179
Leuggern,AG,False,False,2143
Leutwil,AG,True,False,761
Lupfig,AG,True,True,3073
Magden,AG,False,False,3934
Mägenwil,AG,True,True,2118
Mandach,AG,False,False,334
Meisterschwanden,AG,True,True,2940
Mellikon,AG,False,False,239
Mellingen,AG,True,True,5466
Menziken,AG,True,True,6181
Merenschwand,AG,False,False,3474
Mettauertal,AG,False,False,1963
Möhlin,AG,True,True,11006
Mönthal,AG,False,False,396
Moosleerau,AG,False,False,929
Möriken-Wildegg,AG,True,True,4386
Muhen,AG,True,False,3862
Mühlau,AG,False,False,1170
Mülligen,AG,False,False,1108
Mumpf,AG,True,True,1431
Münchwilen (AG),AG,False,False,936
Murgenthal,AG,False,False,2911
Muri (AG),AG,False,False,7761
Neuenhof,AG,True,True,8680
Niederlenz,AG,False,False,4754
Niederrohrdorf,AG,True,False,4035
Niederwil (AG),AG,True,True,2843
Oberentfelden,AG,False,False,8066
Oberhof,AG,False,False,602
Oberkulm,AG,False,False,2720
Oberlunkhofen,AG,True,True,2011
Obermumpf,AG,False,False,1040
Oberrohrdorf,AG,True,True,4124
Oberrüti,AG,False,False,1574
Obersiggenthal,AG,False,False,8564
Oberwil-Lieli,AG,True,True,2361
Oeschgen,AG,False,False,1013
Oftringen,AG,False,False,13599
Olsberg,AG,False,False,359
Othmarsingen,AG,False,False,2782
Reinach (AG),AG,True,True,8438
Reitnau,AG,True,True,1267
Rekingen (AG),AG,False,False,933
Remetschwil,AG,False,False,2070
Remigen,AG,False,False,1066
Rheinfelden,AG,False,False,13360
Rietheim,AG,False,False,759
Riniken,AG,False,False,1478
Rothrist,AG,True,True,8922
Rottenschwil,AG,True,True,817
Rudolfstetten-Friedlisberg,AG,False,False,4475
Rüfenach,AG,True,True,854
Rümikon,AG,False,False,324
Rupperswil,AG,False,False,5484
Safenwil,AG,False,False,3805
Sarmenstorf,AG,False,False,2865
Schafisheim,AG,False,False,2998
Schinznach,AG,False,False,2221
Schinznach-Bad,AG,True,True,1298
Schlossrued,AG,False,False,841
Schmiedrued,AG,False,False,1166
Schneisingen,AG,False,False,1396
Schöftland,AG,False,False,4314
Schupfart,AG,True,False,825
Schwaderloch,AG,True,True,662
Seengen,AG,False,False,3955
Seon,AG,False,False,5219
Siglistorf,AG,True,True,630
Sins,AG,False,False,4320
Sisseln,AG,False,False,1585
Spreitenbach,AG,True,True,11795
Staffelbach,AG,False,False,1242
Staufen,AG,False,False,3235
Stein (AG),AG,False,False,3150
Stetten (AG),AG,True,True,2216
Strengelbach,AG,True,False,4809
Suhr,AG,False,False,10130
Tägerig,AG,False,False,1517
Tegerfelden,AG,False,False,1199
Teufenthal (AG),AG,True,True,1644
Thalheim (AG),AG,False,False,836
Turgi,AG,True,True,2962
Ueken,AG,False,False,895
Uerkheim,AG,False,False,1355
Uezwil,AG,False,False,473
Unterentfelden,AG,False,False,4045
Unterkulm,AG,True,True,3063
Unterlunkhofen,AG,False,False,1385
Untersiggenthal,AG,False,False,7176
Veltheim (AG),AG,False,False,1437
Villigen,AG,True,True,2091
Villmergen,AG,False,False,7295
Villnachern,AG,False,False,1655
Vordemwald,AG,False,False,1940
Wallbach,AG,False,False,1958
Waltenschwil,AG,False,False,2867
Wegenstetten,AG,False,False,1075
Wettingen,AG,False,False,20717
Widen,AG,False,False,3664
Wiliberg,AG,False,False,164
Windisch,AG,False,False,7636
Wislikofen,AG,False,False,342
Wittnau,AG,False,False,1320
Wohlen (AG),AG,False,False,16004
Wohlenschwil,AG,False,False,1560
Wölflinswil,AG,False,False,1042
Würenlingen,AG,False,False,4656
Würenlos,AG,False,False,6388
Zeihen,AG,False,False,1170
Zeiningen,AG,False,False,2288
Zetzwil,AG,False,False,1322
Zofingen,AG,True,True,11543
Zufikon,AG,True,True,4460
Zuzgen,AG,False,False,886
Aarberg,BE,True,True,4581
Aarwangen,BE,False,False,4514
Adelboden,BE,True,True,3371
Aefligen,BE,False,False,1091
Aegerten,BE,False,False,2052
Aeschi bei Spiez,BE,True,True,2285
Affoltern im Emmental,BE,True,True,1133
Alchenstorf,BE,False,False,579
Allmendingen,BE,True,True,579
Amsoldingen,BE,True,True,828
Arch,BE,False,False,1573
Arni (BE),BE,False,False,935
Attiswil,BE,True,True,1451
Auswil,BE,True,True,447
Bannwil,BE,True,False,681
Bargen (BE),BE,True,True,1009
Bäriswil,BE,False,False,1065
Bätterkinden,BE,True,False,3246
Beatenberg,BE,True,False,1208
Bellmund,BE,False,False,1647
Belp,BE,True,True,11439
Belprahon,BE,False,False,298
